epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),valid/box_loss,valid/cls_loss,valid/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,8641.17,1.29411,0.67487,1.0226,0.68861,0.82408,0.74552,0.42283,1.51386,0.78246,1.09477,0.000990365,0.000990365,0.000990365
43,8799.03,1.29544,0.66687,1.01391,0.74014,0.80111,0.79227,0.44936,1.53523,0.75307,1.08447,0.000973861,0.000973861,0.000973861
44,8942.54,1.27989,0.67121,1.01178,0.75579,0.83829,0.8107,0.4548,1.54398,0.78807,1.11207,0.000957358,0.000957358,0.000957358
45,9091.85,1.28136,0.66987,1.01387,0.80191,0.79132,0.81362,0.45858,1.54988,0.73711,1.09079,0.000940855,0.000940855,0.000940855
46,9252.66,1.26304,0.65721,1.01021,0.66953,0.8474,0.74313,0.42322,1.51614,0.79494,1.09381,0.000924352,0.000924352,0.000924352
47,9405.81,1.26559,0.6459,1.00518,0.83618,0.77452,0.81733,0.47063,1.51543,0.71954,1.08143,0.000907848,0.000907848,0.000907848
48,9541.81,1.23757,0.63536,0.99498,0.77274,0.78059,0.81429,0.45734,1.5635,0.72465,1.09781,0.000891345,0.000891345,0.000891345
49,9682.04,1.24022,0.63049,1.0004,0.74221,0.86585,0.81398,0.45507,1.55504,0.73639,1.09993,0.000874842,0.000874842,0.000874842
50,9805.17,1.23398,0.63516,0.99558,0.7251,0.80926,0.80187,0.46148,1.51444,0.74565,1.09505,0.000858338,0.000858338,0.000858338
51,9932.87,1.25676,0.64477,1.00122,0.77326,0.74243,0.79443,0.45396,1.54052,0.74804,1.08815,0.000841835,0.000841835,0.000841835
52,10073.6,1.23675,0.62719,0.99661,0.79829,0.76724,0.80254,0.46027,1.51279,0.73036,1.08778,0.000825332,0.000825332,0.000825332
53,10212.1,1.20967,0.62353,0.9931,0.76664,0.78428,0.78408,0.45949,1.51005,0.73687,1.08053,0.000808828,0.000808828,0.000808828
54,10336.8,1.23887,0.63209,0.99497,0.81295,0.73871,0.80409,0.45305,1.53891,0.71896,1.09469,0.000792325,0.000792325,0.000792325
55,10465.6,1.20247,0.61743,0.99057,0.77922,0.81496,0.82902,0.46302,1.54974,0.71338,1.10578,0.000775822,0.000775822,0.000775822
56,10608.2,1.2286,0.61467,0.99082,0.76234,0.76953,0.77871,0.44902,1.52628,0.73479,1.08074,0.000759318,0.000759318,0.000759318
57,10733,1.20511,0.60405,0.99193,0.68433,0.81656,0.73525,0.43061,1.51494,0.75895,1.09144,0.000742815,0.000742815,0.000742815
58,10874,1.2087,0.60657,0.98592,0.72308,0.78536,0.7685,0.43988,1.51842,0.73951,1.09245,0.000726312,0.000726312,0.000726312
59,10985.9,1.18863,0.61179,0.97718,0.77326,0.77805,0.79508,0.45136,1.54011,0.75022,1.1034,0.000709809,0.000709809,0.000709809
60,11110.6,1.18594,0.60166,0.97879,0.76179,0.79974,0.78883,0.44959,1.52074,0.72824,1.08991,0.000693305,0.000693305,0.000693305
61,11239.3,1.19435,0.60564,0.97982,0.74306,0.83985,0.80295,0.44798,1.50533,0.73316,1.09664,0.000676802,0.000676802,0.000676802
62,11354,1.17658,0.59028,0.98005,0.79804,0.80505,0.81447,0.46173,1.52514,0.71454,1.09374,0.000660299,0.000660299,0.000660299
63,11470.5,1.16817,0.58502,0.97614,0.79339,0.80637,0.81018,0.46365,1.53623,0.71799,1.11172,0.000643795,0.000643795,0.000643795
64,11595.3,1.16904,0.58449,0.9781,0.77672,0.76656,0.7758,0.44994,1.52247,0.71981,1.10253,0.000627292,0.000627292,0.000627292
65,11703.4,1.17483,0.58562,0.96683,0.71676,0.77926,0.76005,0.44756,1.49723,0.75314,1.0843,0.000610789,0.000610789,0.000610789
66,11817.9,1.14526,0.57331,0.96698,0.78216,0.78696,0.7975,0.45554,1.51727,0.71306,1.09042,0.000594286,0.000594286,0.000594286
67,11927.2,1.15632,0.57384,0.96419,0.75854,0.80314,0.78134,0.45435,1.5056,0.71034,1.08431,0.000577782,0.000577782,0.000577782
68,12029.7,1.14321,0.57202,0.9681,0.76463,0.80528,0.79174,0.4586,1.529,0.72656,1.09518,0.000561279,0.000561279,0.000561279
69,12138.9,1.1402,0.56722,0.96793,0.78863,0.79715,0.79891,0.45932,1.50727,0.70747,1.09044,0.000544776,0.000544776,0.000544776
70,12259.4,1.16866,0.57373,0.9708,0.7864,0.82328,0.81451,0.46792,1.50789,0.69718,1.08897,0.000528272,0.000528272,0.000528272
71,12376,1.12862,0.55887,0.96438,0.73714,0.81281,0.78107,0.44846,1.51525,0.73115,1.10073,0.000511769,0.000511769,0.000511769
72,12488.3,1.12126,0.55101,0.958,0.73757,0.78511,0.7822,0.4516,1.50649,0.73744,1.09141,0.000495266,0.000495266,0.000495266
73,12596.4,1.13493,0.55788,0.96317,0.74326,0.82477,0.77897,0.44599,1.52087,0.71965,1.08774,0.000478762,0.000478762,0.000478762
74,12706.7,1.1271,0.5585,0.96256,0.74963,0.76679,0.76771,0.44427,1.51223,0.73021,1.09906,0.000462259,0.000462259,0.000462259
75,12813.6,1.10476,0.55123,0.95114,0.74589,0.78078,0.77046,0.44489,1.50507,0.71481,1.08269,0.000445756,0.000445756,0.000445756
76,12915.2,1.11071,0.54302,0.95392,0.76776,0.7764,0.79057,0.45471,1.51561,0.7141,1.101,0.000429253,0.000429253,0.000429253
77,13033,1.10093,0.53871,0.95262,0.72111,0.76785,0.7571,0.43871,1.52028,0.74019,1.09749,0.000412749,0.000412749,0.000412749
78,13142.4,1.08265,0.52685,0.9494,0.74569,0.82894,0.79262,0.45985,1.50959,0.69855,1.09014,0.000396246,0.000396246,0.000396246
79,13243.7,1.08794,0.5326,0.94918,0.76111,0.80652,0.79655,0.46059,1.50546,0.70595,1.09318,0.000379743,0.000379743,0.000379743
80,13363.4,1.10655,0.54018,0.94847,0.72037,0.78613,0.76223,0.44265,1.50447,0.72917,1.08926,0.000363239,0.000363239,0.000363239
81,13473.5,1.0799,0.53181,0.94471,0.74794,0.77899,0.77166,0.45211,1.49135,0.72338,1.07988,0.000346736,0.000346736,0.000346736
82,13574.9,1.06982,0.52676,0.94285,0.72711,0.81421,0.76897,0.45087,1.49762,0.72592,1.08324,0.000330233,0.000330233,0.000330233
83,13673.3,1.06301,0.52172,0.94702,0.74709,0.79572,0.77431,0.45002,1.50724,0.72473,1.08899,0.000313729,0.000313729,0.000313729
84,13779.6,1.0671,0.52061,0.94549,0.74532,0.76188,0.76202,0.4456,1.49504,0.71771,1.08412,0.000297226,0.000297226,0.000297226
85,13883.2,1.05737,0.51116,0.93983,0.75355,0.83116,0.78149,0.44867,1.5154,0.70811,1.09703,0.000280723,0.000280723,0.000280723
86,13995.5,1.04957,0.51537,0.93838,0.7461,0.80895,0.77477,0.45166,1.50719,0.71666,1.09755,0.00026422,0.00026422,0.00026422
87,14097.5,1.04027,0.50799,0.93873,0.74576,0.78558,0.78397,0.45669,1.49779,0.72031,1.09375,0.000247716,0.000247716,0.000247716
88,14203.1,1.05195,0.51316,0.93975,0.70628,0.78052,0.75994,0.43907,1.51511,0.74418,1.0908,0.000231213,0.000231213,0.000231213
89,14300.5,1.04143,0.50624,0.93993,0.76537,0.77699,0.78124,0.44919,1.53201,0.7262,1.10025,0.00021471,0.00021471,0.00021471
