epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),valid/box_loss,valid/cls_loss,valid/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,18310.2,1.25186,0.62321,1.01282,0.70639,0.72047,0.73306,0.41846,1.53852,0.74121,1.09873,0.000990365,0.000990365,0.000990365
43,18686,1.22463,0.62312,1.00911,0.70158,0.83876,0.7882,0.46218,1.5402,0.71851,1.11081,0.000973861,0.000973861,0.000973861
44,19036.7,1.19205,0.61212,1.01141,0.73921,0.83018,0.8093,0.46405,1.51075,0.71026,1.10711,0.000957358,0.000957358,0.000957358
45,19395.3,1.20467,0.60702,0.99221,0.77253,0.87141,0.83125,0.47966,1.52097,0.69916,1.10433,0.000940855,0.000940855,0.000940855
46,19757.9,1.25598,0.61923,0.99087,0.69326,0.76994,0.75624,0.43447,1.55153,0.73194,1.11594,0.000924352,0.000924352,0.000924352
47,20137.4,1.21957,0.60341,1.00325,0.77288,0.82955,0.81,0.46237,1.56438,0.74369,1.10999,0.000907848,0.000907848,0.000907848
48,20515.5,1.20467,0.60269,0.98472,0.75326,0.79632,0.79375,0.46208,1.51149,0.69823,1.08889,0.000891345,0.000891345,0.000891345
49,20857.5,1.15424,0.58464,0.99104,0.77981,0.84604,0.8271,0.4913,1.49494,0.69512,1.08771,0.000874842,0.000874842,0.000874842
50,21205.8,1.18928,0.58357,0.99097,0.71128,0.81905,0.78128,0.45776,1.50505,0.70338,1.09534,0.000858338,0.000858338,0.000858338
51,21556,1.13827,0.57524,0.97536,0.78915,0.80016,0.81532,0.47859,1.50745,0.69751,1.08846,0.000841835,0.000841835,0.000841835
52,21893.3,1.21283,0.60501,0.99611,0.75607,0.78399,0.78232,0.46918,1.50426,0.68928,1.08632,0.000825332,0.000825332,0.000825332
53,22220.2,1.15726,0.56406,0.98011,0.73203,0.80345,0.76389,0.45602,1.47418,0.69323,1.08337,0.000808828,0.000808828,0.000808828
54,22626.4,1.11925,0.56568,0.96825,0.72518,0.80237,0.78018,0.46201,1.5231,0.71003,1.0978,0.000792325,0.000792325,0.000792325
55,23007.7,1.14862,0.56445,0.98847,0.73259,0.78101,0.77152,0.46306,1.48435,0.70836,1.08242,0.000775822,0.000775822,0.000775822
56,23409.3,1.17991,0.58048,0.99411,0.72649,0.80492,0.7692,0.45179,1.49904,0.69301,1.09043,0.000759318,0.000759318,0.000759318
57,23786,1.13168,0.5563,0.9868,0.72572,0.76291,0.72881,0.43133,1.49512,0.73002,1.0904,0.000742815,0.000742815,0.000742815
58,24165.3,1.12327,0.55674,0.96881,0.74033,0.75852,0.77069,0.45163,1.52771,0.71353,1.108,0.000726312,0.000726312,0.000726312
59,24553,1.17137,0.55791,0.97129,0.7043,0.76797,0.75456,0.44877,1.50414,0.69479,1.08874,0.000709809,0.000709809,0.000709809
60,24929,1.12029,0.54101,0.96696,0.73182,0.78152,0.79505,0.4702,1.51475,0.7027,1.09422,0.000693305,0.000693305,0.000693305
61,25321.2,1.08943,0.55238,0.97177,0.70783,0.7661,0.75538,0.44754,1.503,0.72937,1.09048,0.000676802,0.000676802,0.000676802
62,25700.8,1.09703,0.53723,0.96674,0.75442,0.76298,0.79213,0.46585,1.49948,0.69875,1.09612,0.000660299,0.000660299,0.000660299
63,26074.6,1.10704,0.53152,0.95902,0.81078,0.8184,0.83588,0.49188,1.49403,0.69356,1.08862,0.000643795,0.000643795,0.000643795
