epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),valid/box_loss,valid/cls_loss,valid/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,676.441,1.75723,1.2427,1.23851,0.58292,0.62622,0.55697,0.24851,1.73103,1.2272,1.24184,0.000553757,0.000553757,0.000553757
2,1426.32,1.80508,1.36348,1.3434,0.71742,0.56344,0.56861,0.27262,1.72349,1.50069,1.25927,0.00109836,0.00109836,0.00109836
3,2193.5,1.72565,1.31661,1.2658,0.54634,0.65382,0.60525,0.27138,1.70077,1.11804,1.26106,0.00163189,0.00163189,0.00163189
4,2958.2,1.72425,1.22213,1.28036,0.64438,0.62207,0.64194,0.29996,1.66755,1.16967,1.22443,0.00161714,0.00161714,0.00161714
5,3689.33,1.75707,1.25801,1.30983,0.79871,0.67384,0.69036,0.3322,1.66223,1.083,1.22333,0.00160052,0.00160052,0.00160052
6,4395.87,1.70024,1.1402,1.25707,0.78782,0.72641,0.76997,0.38245,1.6046,0.919,1.19637,0.0015839,0.0015839,0.0015839
7,5090.24,1.66755,1.05634,1.24215,0.72621,0.70346,0.76374,0.38172,1.60696,0.95159,1.19138,0.00156728,0.00156728,0.00156728
8,5824.4,1.67862,1.10692,1.24076,0.73044,0.74988,0.72498,0.37094,1.59558,0.92893,1.18612,0.00155066,0.00155066,0.00155066
9,6537.25,1.61783,1.02194,1.18392,0.81538,0.75991,0.79709,0.42845,1.54926,0.85231,1.15306,0.00153404,0.00153404,0.00153404
10,7257.28,1.64322,1.02735,1.21312,0.75094,0.72447,0.73985,0.36332,1.57995,0.9246,1.17541,0.00151742,0.00151742,0.00151742
11,7964.32,1.65184,1.00656,1.1972,0.72503,0.764,0.76333,0.39904,1.5529,0.85623,1.15809,0.0015008,0.0015008,0.0015008
12,8681.45,1.52983,0.87579,1.15705,0.81181,0.80524,0.82484,0.43619,1.56523,0.81417,1.1551,0.00148418,0.00148418,0.00148418
13,9392.47,1.57375,0.94888,1.19423,0.81339,0.79543,0.81373,0.42542,1.52972,0.81745,1.14554,0.00146756,0.00146756,0.00146756
14,10046.9,1.628,0.93535,1.18965,0.80593,0.79489,0.80495,0.43007,1.57219,0.80818,1.16209,0.00145094,0.00145094,0.00145094
15,10707,1.51547,0.93162,1.15346,0.80046,0.81409,0.7934,0.43402,1.52041,0.80481,1.1422,0.00143432,0.00143432,0.00143432
16,11355.6,1.49853,0.88375,1.14222,0.77482,0.79447,0.81788,0.44266,1.52494,0.79375,1.13843,0.0014177,0.0014177,0.0014177
17,11999.8,1.46159,0.85357,1.13695,0.81619,0.79107,0.81532,0.44904,1.51182,0.78302,1.12598,0.00140108,0.00140108,0.00140108
18,12597.6,1.49004,0.82373,1.12688,0.82634,0.78615,0.81141,0.42985,1.52897,0.76409,1.12808,0.00138446,0.00138446,0.00138446
19,13211.7,1.5466,0.85825,1.14152,0.84462,0.82818,0.84352,0.46691,1.48169,0.74307,1.11448,0.00136784,0.00136784,0.00136784
20,13793,1.54684,0.85697,1.1833,0.81222,0.83376,0.82946,0.46116,1.5117,0.72127,1.1243,0.00135122,0.00135122,0.00135122
21,14393.1,1.54401,0.83916,1.14262,0.82402,0.80988,0.83412,0.4636,1.48845,0.75447,1.11666,0.0013346,0.0013346,0.0013346
22,14988.2,1.45715,0.85302,1.13016,0.80284,0.82297,0.82617,0.46159,1.49586,0.75301,1.12114,0.00131798,0.00131798,0.00131798
