epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),valid/box_loss,valid/cls_loss,valid/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,375.078,1.66429,1.20156,1.1935,0.59053,0.55481,0.5321,0.25196,1.73813,1.38296,1.17005,0.000552817,0.000552817,0.000552817
2,833.421,1.7832,1.29907,1.22674,0.55576,0.38808,0.38043,0.16528,1.811,1.4043,1.22864,0.00109751,0.00109751,0.00109751
3,1280.82,1.73757,1.23592,1.26662,0.57307,0.55958,0.52432,0.25329,1.77684,1.25959,1.2467,0.0016312,0.0016312,0.0016312
4,1786.14,1.73589,1.22359,1.23813,0.65913,0.55479,0.53732,0.26276,1.81328,1.17586,1.24872,0.00161749,0.00161749,0.00161749
5,2263.03,1.67783,1.12143,1.216,0.60538,0.64804,0.59835,0.30025,1.63054,1.17815,1.17164,0.00160099,0.00160099,0.00160099
6,2735.85,1.66517,1.08459,1.19633,0.60028,0.64544,0.60541,0.2939,1.70836,1.13608,1.20635,0.00158448,0.00158448,0.00158448
7,3201.91,1.62274,1.0056,1.20135,0.69179,0.72613,0.73678,0.35514,1.70921,0.98309,1.19147,0.00156798,0.00156798,0.00156798
8,3667.83,1.6497,1.03511,1.18703,0.54111,0.60177,0.57574,0.29573,1.64156,1.12775,1.15155,0.00155148,0.00155148,0.00155148
9,4117.86,1.54591,0.94811,1.14574,0.69736,0.78658,0.73358,0.40185,1.58169,0.8981,1.12587,0.00153497,0.00153497,0.00153497
10,4565.47,1.57159,0.92944,1.16346,0.65781,0.75073,0.6506,0.33664,1.65134,0.91675,1.15469,0.00151847,0.00151847,0.00151847
11,4983.58,1.50095,0.91383,1.14428,0.57718,0.85551,0.67181,0.36002,1.59528,0.94204,1.1265,0.00150197,0.00150197,0.00150197
12,5448.49,1.54519,0.88194,1.12606,0.7126,0.75161,0.72981,0.37976,1.66616,0.93063,1.13678,0.00148546,0.00148546,0.00148546
13,5981.73,1.5106,0.88648,1.13192,0.7199,0.76146,0.73878,0.38248,1.65273,0.87182,1.14892,0.00146896,0.00146896,0.00146896
14,6487.37,1.51439,0.86477,1.13398,0.79239,0.75948,0.77848,0.42609,1.59505,0.82785,1.11719,0.00145246,0.00145246,0.00145246
15,6965.34,1.5021,0.84827,1.10653,0.72371,0.85047,0.77775,0.41864,1.62467,0.85591,1.12736,0.00143595,0.00143595,0.00143595
16,7465.85,1.43016,0.83632,1.08658,0.8149,0.75971,0.78897,0.42988,1.58275,0.80438,1.1176,0.00141945,0.00141945,0.00141945
17,7948.38,1.4275,0.82936,1.07415,0.7784,0.75897,0.78715,0.43943,1.59643,0.83316,1.10124,0.00140295,0.00140295,0.00140295
18,8400.28,1.40815,0.82132,1.11128,0.77126,0.77116,0.76952,0.42641,1.5526,0.82277,1.10031,0.00138644,0.00138644,0.00138644
