epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),valid/box_loss,valid/cls_loss,valid/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,377.877,1.66429,1.20156,1.1935,0.56977,0.53577,0.50087,0.23521,1.73813,1.38296,1.17005,0.000552817,0.000552817,0.000552817
2,815.282,1.80264,1.36671,1.25029,0.51781,0.5449,0.5086,0.23478,1.80951,1.32304,1.24496,0.00109741,0.00109741,0.00109741
3,1264.45,1.72657,1.22444,1.23352,0.59251,0.4992,0.50492,0.25083,1.74969,1.24692,1.20057,0.0016309,0.0016309,0.0016309
4,1711.61,1.75482,1.23334,1.24977,0.53608,0.59842,0.51897,0.25345,1.74187,1.1477,1.20539,0.00161704,0.00161704,0.00161704
5,2181.12,1.69288,1.12054,1.22498,0.64416,0.70514,0.68163,0.34227,1.66402,1.09794,1.19187,0.00160039,0.00160039,0.00160039
6,2655.2,1.62618,1.08426,1.1767,0.72711,0.7598,0.73046,0.36495,1.71143,1.07455,1.18425,0.00158373,0.00158373,0.00158373
7,3126.9,1.61386,1.00053,1.20368,0.73197,0.72527,0.72593,0.36683,1.70971,0.9891,1.17571,0.00156708,0.00156708,0.00156708
8,3576.97,1.64192,1.03546,1.17695,0.6552,0.64294,0.62157,0.3139,1.6742,1.01762,1.17026,0.00155043,0.00155043,0.00155043
9,4030.73,1.53587,0.93244,1.14059,0.71059,0.73244,0.75546,0.41035,1.62338,0.91668,1.14218,0.00153377,0.00153377,0.00153377
10,4471.35,1.54447,0.93722,1.1401,0.71094,0.71615,0.6832,0.3422,1.69229,0.93795,1.15413,0.00151712,0.00151712,0.00151712
11,4900.45,1.52136,0.92222,1.14626,0.54989,0.66491,0.56092,0.29247,1.64934,1.00259,1.14773,0.00150047,0.00150047,0.00150047
12,5350.6,1.54028,0.87158,1.1202,0.60477,0.67268,0.62901,0.32553,1.64364,0.94462,1.1431,0.00148381,0.00148381,0.00148381
13,5876.44,1.51998,0.87565,1.13006,0.78693,0.71147,0.74339,0.39953,1.60425,0.84517,1.12577,0.00146716,0.00146716,0.00146716
14,6391.82,1.50106,0.8777,1.13485,0.74252,0.6717,0.67202,0.36352,1.60672,0.86249,1.12222,0.00145051,0.00145051,0.00145051
15,6860.74,1.49765,0.85029,1.10133,0.74995,0.73188,0.74329,0.41336,1.60686,0.83929,1.10684,0.00143385,0.00143385,0.00143385
16,7369.98,1.4181,0.84805,1.08628,0.75271,0.71528,0.75668,0.40816,1.57518,0.84786,1.11781,0.0014172,0.0014172,0.0014172
17,7830.89,1.41852,0.83402,1.07096,0.77078,0.79704,0.78219,0.43421,1.56937,0.81286,1.09942,0.00140055,0.00140055,0.00140055
18,8296.38,1.42342,0.79967,1.11188,0.71658,0.76755,0.75303,0.41711,1.58484,0.82441,1.11513,0.00138389,0.00138389,0.00138389
19,8763.49,1.51829,0.83198,1.16074,0.64761,0.82389,0.76007,0.38807,1.65933,0.84703,1.12877,0.00136724,0.00136724,0.00136724
20,9242.6,1.4393,0.77089,1.09178,0.72923,0.84039,0.78852,0.4288,1.57409,0.79172,1.09222,0.00135059,0.00135059,0.00135059
21,9684.9,1.42953,0.78573,1.08006,0.68661,0.76352,0.72211,0.4002,1.51688,0.83467,1.07595,0.00133393,0.00133393,0.00133393
22,10129.8,1.44917,0.80561,1.09738,0.62775,0.68536,0.63177,0.35953,1.54164,0.80731,1.09236,0.00131728,0.00131728,0.00131728
23,10597.5,1.38744,0.79421,1.07253,0.72588,0.6742,0.6831,0.36723,1.63866,0.79834,1.12405,0.00130063,0.00130063,0.00130063
24,11046,1.38082,0.75116,1.06139,0.7447,0.78919,0.78022,0.42971,1.56359,0.79931,1.10896,0.00128397,0.00128397,0.00128397
25,11467.5,1.3557,0.74086,1.05669,0.80227,0.77503,0.80088,0.43662,1.56293,0.77224,1.09578,0.00126732,0.00126732,0.00126732
26,11879.1,1.4136,0.72673,1.06446,0.71133,0.81368,0.73928,0.41518,1.55187,0.77697,1.10489,0.00125067,0.00125067,0.00125067
27,12309.7,1.36429,0.71573,1.04266,0.76468,0.79299,0.79128,0.44959,1.53267,0.73032,1.08982,0.00123401,0.00123401,0.00123401
28,12729.9,1.32599,0.72782,1.05154,0.69043,0.84223,0.74693,0.41536,1.56971,0.78558,1.10092,0.00121736,0.00121736,0.00121736
29,13133.5,1.32213,0.69163,1.0507,0.68408,0.70155,0.6568,0.37644,1.53619,0.77846,1.10717,0.00120071,0.00120071,0.00120071
30,13539.8,1.33151,0.70465,1.06399,0.76045,0.78531,0.7571,0.43355,1.51186,0.74812,1.07502,0.00118405,0.00118405,0.00118405
31,13944.3,1.30731,0.67452,1.04253,0.7355,0.83876,0.80197,0.45059,1.55764,0.73209,1.09947,0.0011674,0.0011674,0.0011674
32,14342.8,1.3407,0.73156,1.05948,0.77471,0.77959,0.78832,0.45415,1.52549,0.75157,1.08771,0.00115075,0.00115075,0.00115075
33,14734.5,1.28763,0.68551,1.03691,0.67507,0.77008,0.70201,0.40537,1.51075,0.77998,1.08384,0.00113409,0.00113409,0.00113409
34,15111.8,1.29868,0.65638,1.03642,0.7016,0.82913,0.77516,0.44285,1.53125,0.75705,1.094,0.00111744,0.00111744,0.00111744
35,15536.2,1.27157,0.65842,1.02623,0.74125,0.81108,0.75657,0.43954,1.51887,0.74802,1.08452,0.00110079,0.00110079,0.00110079
36,15943.8,1.23976,0.64957,1.02971,0.65778,0.68361,0.64845,0.36161,1.53275,0.75882,1.10696,0.00108413,0.00108413,0.00108413
37,16311.8,1.24512,0.64778,1.01726,0.70188,0.66421,0.64513,0.3686,1.54591,0.74285,1.09874,0.00106748,0.00106748,0.00106748
38,16715.9,1.25195,0.66361,0.99572,0.73639,0.78594,0.76575,0.43166,1.54131,0.75311,1.10397,0.00105083,0.00105083,0.00105083
39,17086.7,1.2489,0.64255,1.02314,0.72411,0.75971,0.75318,0.43086,1.53847,0.73881,1.09444,0.00103417,0.00103417,0.00103417
40,17457.8,1.27468,0.62505,1.01421,0.70327,0.65074,0.64496,0.37211,1.55327,0.74695,1.10117,0.00101752,0.00101752,0.00101752
41,17862.2,1.24777,0.64051,1.00727,0.73652,0.74412,0.7488,0.42675,1.56952,0.74448,1.10521,0.00100087,0.00100087,0.00100087
42,18252.6,1.25826,0.63287,1.00832,0.69082,0.69055,0.64993,0.36569,1.5559,0.737,1.09533,0.000984213,0.000984213,0.000984213
43,18622.9,1.20634,0.62267,0.99945,0.75447,0.85249,0.81662,0.46959,1.53588,0.7153,1.09791,0.00096756,0.00096756,0.00096756
44,18973.2,1.19056,0.62303,1.00902,0.72926,0.79941,0.75692,0.44134,1.49341,0.76143,1.09082,0.000950907,0.000950907,0.000950907
