epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),valid/box_loss,valid/cls_loss,valid/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,18439.9,1.23875,0.62837,1.01058,0.76958,0.82131,0.77987,0.44605,1.54546,0.74152,1.10682,0.00098558,0.00098558,0.00098558
43,18815,1.20819,0.62551,0.99872,0.74864,0.83323,0.8274,0.47104,1.55219,0.74956,1.10788,0.00096896,0.00096896,0.00096896
44,19169.8,1.18534,0.60259,1.01289,0.76683,0.7541,0.76291,0.43671,1.54166,0.7228,1.11983,0.00095234,0.00095234,0.00095234
45,19533.7,1.17493,0.61333,0.98814,0.77582,0.83387,0.81967,0.46793,1.52189,0.72619,1.10592,0.00093572,0.00093572,0.00093572
46,19904.2,1.24963,0.61774,0.99005,0.71521,0.81942,0.79487,0.4565,1.55255,0.74588,1.11293,0.0009191,0.0009191,0.0009191
47,20275,1.20142,0.60057,1.00031,0.77418,0.76521,0.77352,0.43761,1.55416,0.71839,1.11568,0.00090248,0.00090248,0.00090248
48,20659,1.20765,0.60476,0.98134,0.7835,0.83426,0.80251,0.4622,1.52487,0.71745,1.10434,0.00088586,0.00088586,0.00088586
49,21006.2,1.16934,0.58231,0.99846,0.75067,0.87923,0.811,0.46815,1.50793,0.71382,1.09579,0.00086924,0.00086924,0.00086924
50,21340.4,1.18291,0.5834,0.98636,0.81841,0.74175,0.77137,0.43019,1.51456,0.71884,1.11208,0.00085262,0.00085262,0.00085262
51,21685.3,1.13653,0.58219,0.98093,0.79896,0.74757,0.77386,0.43692,1.50608,0.72189,1.10099,0.000836,0.000836,0.000836
52,22026.8,1.20568,0.6114,0.99421,0.80392,0.77339,0.78439,0.46391,1.48845,0.6922,1.09856,0.000819381,0.000819381,0.000819381
53,22355.6,1.12732,0.56814,0.97601,0.79718,0.74864,0.76699,0.44851,1.47888,0.69806,1.09276,0.000802761,0.000802761,0.000802761
54,22780.4,1.12846,0.56998,0.97317,0.76834,0.73529,0.72444,0.42412,1.51481,0.6921,1.10083,0.000786141,0.000786141,0.000786141
55,23169.7,1.12844,0.55416,0.97694,0.77522,0.77592,0.7676,0.44883,1.48661,0.70514,1.09264,0.000769521,0.000769521,0.000769521
56,23584.1,1.16119,0.57278,0.98555,0.73863,0.79543,0.76945,0.44672,1.51324,0.70414,1.09916,0.000752901,0.000752901,0.000752901
57,23967.9,1.13404,0.55569,0.99119,0.75412,0.75415,0.74553,0.44664,1.48884,0.70859,1.09443,0.000736281,0.000736281,0.000736281
58,24349.5,1.14196,0.56933,0.97328,0.743,0.77167,0.7568,0.43913,1.5333,0.72534,1.1151,0.000719661,0.000719661,0.000719661
59,24748.3,1.16382,0.56346,0.96878,0.76688,0.76452,0.74834,0.44494,1.50507,0.6998,1.09876,0.000703041,0.000703041,0.000703041
60,25106.8,1.11242,0.54951,0.96615,0.73285,0.77382,0.75935,0.4424,1.51323,0.71472,1.11004,0.000686421,0.000686421,0.000686421
61,25491.4,1.09662,0.54858,0.9799,0.73309,0.76636,0.7492,0.44441,1.50711,0.73306,1.10618,0.000669801,0.000669801,0.000669801
62,25874.5,1.07742,0.53797,0.96861,0.71868,0.77092,0.74825,0.44554,1.48512,0.7025,1.09439,0.000653181,0.000653181,0.000653181
63,26239.4,1.09349,0.53039,0.95023,0.74583,0.7492,0.75369,0.45035,1.50272,0.70503,1.10036,0.000636561,0.000636561,0.000636561
64,26602,1.12243,0.53577,0.96071,0.7677,0.74001,0.74771,0.44094,1.48422,0.72421,1.08955,0.000619941,0.000619941,0.000619941
65,26949.3,1.05154,0.51595,0.95925,0.75239,0.78048,0.77101,0.4632,1.50172,0.68224,1.1094,0.000603321,0.000603321,0.000603321
66,27307.6,1.06928,0.51554,0.95801,0.75426,0.73472,0.73923,0.44517,1.49252,0.70571,1.09435,0.000586701,0.000586701,0.000586701
67,27666.9,1.00693,0.50742,0.96289,0.7407,0.77935,0.75248,0.446,1.4947,0.70596,1.0928,0.000570081,0.000570081,0.000570081
68,28044.6,1.10561,0.5233,0.94038,0.75702,0.79816,0.78326,0.46056,1.50067,0.71291,1.10459,0.000553461,0.000553461,0.000553461
69,28396.1,1.07002,0.51502,0.95775,0.7416,0.78467,0.77243,0.45986,1.49282,0.6771,1.09464,0.000536841,0.000536841,0.000536841
70,28767,1.10365,0.52475,0.95673,0.77454,0.74771,0.75695,0.4452,1.52309,0.70067,1.10886,0.000520221,0.000520221,0.000520221
71,29117.3,1.10253,0.53446,0.95224,0.75959,0.77154,0.76641,0.45741,1.49294,0.68547,1.10326,0.000503601,0.000503601,0.000503601
72,29496.3,1.04819,0.50236,0.95176,0.74212,0.76539,0.75896,0.45101,1.50062,0.6985,1.11218,0.000486981,0.000486981,0.000486981
73,29854.9,1.03734,0.4923,0.93587,0.74606,0.75241,0.75091,0.4372,1.51403,0.7138,1.11606,0.000470361,0.000470361,0.000470361
74,30189.3,1.03018,0.49023,0.94728,0.76297,0.73463,0.75252,0.45167,1.48975,0.69845,1.10347,0.000453741,0.000453741,0.000453741
75,30532.5,0.98442,0.49162,0.94231,0.76627,0.75875,0.7615,0.45993,1.48827,0.69116,1.10419,0.000437121,0.000437121,0.000437121
76,30862.7,0.95856,0.46206,0.91314,0.70565,0.74355,0.73265,0.43838,1.49769,0.72498,1.1183,0.000420501,0.000420501,0.000420501
77,31231.7,0.91842,0.46067,0.92739,0.73307,0.80221,0.7858,0.46569,1.47684,0.7008,1.10548,0.000403881,0.000403881,0.000403881
78,31563.7,1.07652,0.5182,0.93903,0.76927,0.73489,0.74877,0.44488,1.4793,0.70067,1.10985,0.000387261,0.000387261,0.000387261
79,31911.6,1.03764,0.50826,0.94567,0.75099,0.78289,0.77996,0.46916,1.48729,0.68471,1.10499,0.000370641,0.000370641,0.000370641
80,32241.8,0.97533,0.47051,0.93058,0.77332,0.80331,0.80128,0.47103,1.49705,0.68903,1.10873,0.000354021,0.000354021,0.000354021
81,32581.4,0.95344,0.47471,0.92956,0.76485,0.80828,0.79864,0.47486,1.48536,0.69049,1.1018,0.000337401,0.000337401,0.000337401
82,32914.5,0.97334,0.47464,0.92597,0.75332,0.76319,0.76631,0.44834,1.48836,0.69158,1.1007,0.000320781,0.000320781,0.000320781
83,33253.6,0.99346,0.48391,0.93577,0.75326,0.79299,0.7875,0.46535,1.48944,0.70166,1.10103,0.000304161,0.000304161,0.000304161
84,33612.4,0.94614,0.45523,0.91463,0.74957,0.7668,0.76295,0.45305,1.48781,0.69298,1.10115,0.000287541,0.000287541,0.000287541
85,33967,0.94011,0.46244,0.92439,0.76268,0.75811,0.75937,0.45138,1.48325,0.69613,1.09903,0.000270921,0.000270921,0.000270921
86,34300.8,0.93115,0.44854,0.90679,0.75079,0.76231,0.76209,0.45315,1.47674,0.68977,1.09922,0.000254301,0.000254301,0.000254301
87,34619.6,0.96042,0.46911,0.92587,0.74788,0.78372,0.7766,0.46734,1.48044,0.69042,1.10332,0.000237681,0.000237681,0.000237681
88,34975.2,0.93065,0.45182,0.91765,0.75574,0.75305,0.74802,0.44149,1.50033,0.70246,1.1135,0.000221061,0.000221061,0.000221061
89,35316.9,0.95367,0.45082,0.91345,0.75708,0.7638,0.75777,0.44914,1.49294,0.68245,1.11011,0.000204441,0.000204441,0.000204441
90,35668.9,0.89668,0.43609,0.90609,0.7567,0.78902,0.79915,0.47466,1.49296,0.68481,1.10918,0.000187821,0.000187821,0.000187821
91,36082.2,0.89406,0.41276,0.89222,0.74328,0.80934,0.78714,0.46513,1.51047,0.70964,1.11016,0.000171201,0.000171201,0.000171201
92,36422.4,0.88638,0.39199,0.88314,0.74912,0.81294,0.78887,0.45929,1.52574,0.71534,1.11266,0.000154581,0.000154581,0.000154581
93,36770.1,0.84855,0.38102,0.87638,0.75946,0.81844,0.78907,0.4675,1.51296,0.69658,1.11522,0.000137961,0.000137961,0.000137961
94,37081.8,0.86838,0.39117,0.87945,0.77053,0.77185,0.76677,0.45379,1.50829,0.69298,1.11654,0.000121341,0.000121341,0.000121341
95,37395.3,0.81602,0.38896,0.87322,0.78062,0.75558,0.76501,0.45259,1.50721,0.68951,1.11751,0.000104721,0.000104721,0.000104721
96,37702.5,0.84622,0.38398,0.8751,0.79351,0.77751,0.76858,0.45225,1.51294,0.69072,1.11255,8.8101e-05,8.8101e-05,8.8101e-05
97,38011.5,0.81434,0.36306,0.87845,0.77335,0.76233,0.7625,0.44564,1.51816,0.69943,1.11848,7.1481e-05,7.1481e-05,7.1481e-05
98,38327.7,0.81683,0.37145,0.88169,0.76272,0.80067,0.79181,0.47074,1.51245,0.70058,1.11825,5.4861e-05,5.4861e-05,5.4861e-05
99,38638.5,0.8262,0.38152,0.87339,0.76625,0.79988,0.79078,0.47085,1.51192,0.69881,1.11781,3.8241e-05,3.8241e-05,3.8241e-05
100,38948.3,0.8018,0.36819,0.86517,0.78737,0.75166,0.7619,0.45195,1.51442,0.69662,1.11707,2.1621e-05,2.1621e-05,2.1621e-05
