epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),valid/box_loss,valid/cls_loss,valid/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,13932.6,1.39759,0.71012,1.08391,0.86801,0.85484,0.891,0.5298,1.41543,0.63904,1.06736,0.00098558,0.00098558,0.00098558
43,14172.4,1.3822,0.69925,1.07691,0.84051,0.87639,0.87541,0.52619,1.39037,0.62187,1.06138,0.00096896,0.00096896,0.00096896
44,14408.7,1.35675,0.69751,1.07562,0.85506,0.87416,0.88135,0.53007,1.39074,0.62306,1.05405,0.00095234,0.00095234,0.00095234
45,14638.7,1.36844,0.70181,1.07768,0.87527,0.87237,0.89471,0.5302,1.39542,0.62302,1.05547,0.00093572,0.00093572,0.00093572
46,14862.6,1.37313,0.69308,1.06715,0.86283,0.86569,0.89056,0.51681,1.4008,0.62478,1.05925,0.0009191,0.0009191,0.0009191
47,15128.1,1.35898,0.67607,1.06521,0.86212,0.86999,0.88634,0.53937,1.39184,0.61589,1.05429,0.00090248,0.00090248,0.00090248
48,15362.4,1.35875,0.69384,1.07927,0.85016,0.8749,0.88896,0.53893,1.3935,0.61344,1.0618,0.00088586,0.00088586,0.00088586
49,15584.8,1.35455,0.67865,1.06421,0.85066,0.87066,0.88109,0.54294,1.37667,0.61123,1.05192,0.00086924,0.00086924,0.00086924
50,15812.2,1.35419,0.68245,1.07559,0.87451,0.86367,0.88864,0.53951,1.3982,0.62735,1.06031,0.00085262,0.00085262,0.00085262
51,16062,1.33022,0.67296,1.06307,0.87593,0.87052,0.89076,0.53213,1.40636,0.60838,1.06406,0.000836,0.000836,0.000836
52,16297.3,1.31259,0.65267,1.05472,0.87454,0.8645,0.89464,0.54441,1.36579,0.60213,1.04732,0.000819381,0.000819381,0.000819381
53,16520.6,1.33236,0.66555,1.05722,0.87661,0.87182,0.88544,0.53924,1.36343,0.59443,1.04539,0.000802761,0.000802761,0.000802761
54,16742.5,1.31943,0.6514,1.05491,0.85503,0.88186,0.89698,0.54924,1.36078,0.59439,1.04795,0.000786141,0.000786141,0.000786141
55,16955.3,1.31292,0.64661,1.05557,0.89039,0.85965,0.89571,0.54913,1.36958,0.59329,1.05094,0.000769521,0.000769521,0.000769521
56,17188,1.30923,0.65099,1.05198,0.87291,0.8856,0.90301,0.56231,1.34885,0.58713,1.04694,0.000752901,0.000752901,0.000752901
57,17401.2,1.31268,0.65397,1.05023,0.85993,0.8736,0.89342,0.5333,1.37838,0.60616,1.0511,0.000736281,0.000736281,0.000736281
58,17623.8,1.31868,0.6506,1.05581,0.84855,0.88051,0.88686,0.53652,1.35942,0.58987,1.05117,0.000719661,0.000719661,0.000719661
59,17836.3,1.28925,0.63661,1.05088,0.87215,0.87385,0.90023,0.5478,1.35873,0.58237,1.04739,0.000703041,0.000703041,0.000703041
60,18057.6,1.29412,0.62751,1.04167,0.87974,0.87163,0.89637,0.55452,1.35082,0.58727,1.03518,0.000686421,0.000686421,0.000686421
61,18273.6,1.2874,0.63717,1.04132,0.8631,0.88176,0.89181,0.55308,1.34502,0.58097,1.03933,0.000669801,0.000669801,0.000669801
62,18497.9,1.28253,0.62203,1.0375,0.8591,0.87157,0.89735,0.55859,1.34607,0.57822,1.03905,0.000653181,0.000653181,0.000653181
63,18697.2,1.28314,0.62699,1.03865,0.88098,0.87365,0.89837,0.5578,1.34639,0.57149,1.03899,0.000636561,0.000636561,0.000636561
