epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),valid/box_loss,valid/cls_loss,valid/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,533.811,1.78313,1.56513,1.24753,0.60608,0.62734,0.58815,0.27526,1.72654,1.50517,1.25184,0.000553757,0.000553757,0.000553757
2,975.397,1.80119,1.30624,1.29334,0.68561,0.5744,0.63929,0.31831,1.70789,1.234,1.23803,0.00109839,0.00109839,0.00109839
3,1434.68,1.80741,1.29752,1.3033,0.46678,0.42032,0.46271,0.21278,1.74143,1.22614,1.27645,0.00163196,0.00163196,0.00163196
4,1883.75,1.77835,1.24171,1.2809,0.75687,0.68854,0.7171,0.34483,1.69174,1.07251,1.23833,0.00161724,0.00161724,0.00161724
5,2307.99,1.73658,1.16069,1.25322,0.7092,0.7475,0.70563,0.35151,1.61175,0.97199,1.17865,0.00160065,0.00160065,0.00160065
6,2727.93,1.70234,1.13903,1.2408,0.61245,0.74216,0.71359,0.36659,1.59128,0.94216,1.16992,0.00158407,0.00158407,0.00158407
7,3142.27,1.68533,1.08889,1.22114,0.77837,0.72617,0.77849,0.38508,1.57751,0.91506,1.16924,0.00156748,0.00156748,0.00156748
8,3545.03,1.64551,1.0428,1.22025,0.74279,0.69424,0.73516,0.35172,1.67751,0.94358,1.20453,0.00155089,0.00155089,0.00155089
9,3934.67,1.65034,1.04128,1.2164,0.80456,0.80413,0.81266,0.43503,1.54309,0.81539,1.15245,0.00153431,0.00153431,0.00153431
10,4296.56,1.61671,0.98915,1.19722,0.79816,0.7585,0.78225,0.39797,1.60855,0.88678,1.17204,0.00151772,0.00151772,0.00151772
11,4673.05,1.62076,0.9902,1.2081,0.79435,0.77949,0.80309,0.41746,1.54275,0.82746,1.14423,0.00150113,0.00150113,0.00150113
12,5034.21,1.59286,0.94898,1.18281,0.79943,0.69874,0.76482,0.40138,1.58039,0.90068,1.16026,0.00148455,0.00148455,0.00148455
13,5435.94,1.57852,0.94979,1.17481,0.81692,0.80336,0.80694,0.4212,1.55381,0.82134,1.14759,0.00146796,0.00146796,0.00146796
14,5826.82,1.56697,0.93108,1.16638,0.79808,0.78904,0.78383,0.40794,1.571,0.80898,1.14473,0.00145137,0.00145137,0.00145137
15,6182.26,1.56328,0.91145,1.16025,0.82373,0.75739,0.77654,0.40612,1.53387,0.84458,1.14588,0.00143479,0.00143479,0.00143479
16,6527.98,1.55658,0.91008,1.15929,0.74756,0.78312,0.80141,0.43099,1.54358,0.83998,1.13903,0.0014182,0.0014182,0.0014182
17,6857.68,1.53704,0.88093,1.14788,0.8481,0.82099,0.84206,0.45296,1.50945,0.75905,1.12787,0.00140161,0.00140161,0.00140161
18,7184.85,1.53699,0.88425,1.15542,0.81993,0.80777,0.84114,0.46298,1.50987,0.77163,1.1175,0.00138503,0.00138503,0.00138503
19,7503.28,1.52165,0.87559,1.14433,0.8398,0.80205,0.82033,0.45209,1.49129,0.74717,1.10441,0.00136844,0.00136844,0.00136844
20,7851.25,1.50698,0.8648,1.1389,0.78648,0.71151,0.77605,0.41703,1.56733,0.82367,1.13542,0.00135185,0.00135185,0.00135185
21,8162.73,1.5038,0.83533,1.14005,0.83364,0.81822,0.83239,0.46194,1.49598,0.73519,1.11524,0.00133527,0.00133527,0.00133527
22,8478.93,1.50241,0.84015,1.13627,0.84904,0.81332,0.85813,0.4824,1.47489,0.72383,1.10793,0.00131868,0.00131868,0.00131868
23,8761.92,1.50326,0.82615,1.1316,0.78952,0.81939,0.83909,0.47355,1.49221,0.73502,1.11277,0.00130209,0.00130209,0.00130209
