epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),valid/box_loss,valid/cls_loss,valid/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,25021.9,1.34015,0.7056,1.08167,0.86436,0.87277,0.89281,0.51719,1.41732,0.63627,1.06767,0.000986947,0.000986947,0.000986947
43,25477.2,1.40633,0.72372,1.10233,0.86268,0.85501,0.89109,0.52302,1.40234,0.63203,1.06587,0.000970361,0.000970361,0.000970361
44,25927.9,1.43685,0.70711,1.06652,0.87749,0.85017,0.89563,0.52107,1.42445,0.63001,1.06641,0.000953774,0.000953774,0.000953774
45,26410,1.34499,0.66419,1.08857,0.88533,0.85324,0.88155,0.52789,1.40902,0.62613,1.0635,0.000937187,0.000937187,0.000937187
46,26904.7,1.44653,0.69549,1.06717,0.87057,0.87028,0.88812,0.51801,1.42471,0.63076,1.06728,0.000920601,0.000920601,0.000920601
47,27389.2,1.35023,0.67675,1.08303,0.87011,0.86474,0.88323,0.52583,1.42314,0.635,1.06796,0.000904014,0.000904014,0.000904014
48,27883.3,1.28178,0.66017,1.04517,0.85108,0.89348,0.89731,0.52778,1.39844,0.61242,1.06332,0.000887427,0.000887427,0.000887427
49,28377.4,1.32179,0.69681,1.08296,0.88269,0.85536,0.89352,0.54756,1.37345,0.60276,1.05216,0.000870841,0.000870841,0.000870841
50,28890.1,1.30148,0.63441,1.06067,0.88093,0.87996,0.89489,0.53327,1.38635,0.60336,1.06204,0.000854254,0.000854254,0.000854254
51,29389.8,1.31397,0.64883,1.04247,0.87126,0.85633,0.89058,0.52828,1.38435,0.60482,1.05449,0.000837667,0.000837667,0.000837667
52,29902.1,1.3452,0.659,1.05825,0.88489,0.86351,0.90364,0.55414,1.36534,0.59657,1.05302,0.000821081,0.000821081,0.000821081
53,30396.9,1.34618,0.65027,1.04102,0.89156,0.87704,0.89632,0.54955,1.37158,0.58866,1.05187,0.000804494,0.000804494,0.000804494
54,30893.2,1.38137,0.66229,1.03609,0.89045,0.87399,0.90433,0.55671,1.35769,0.59253,1.04631,0.000787908,0.000787908,0.000787908
55,31379.7,1.31149,0.6496,1.05808,0.88881,0.86789,0.9131,0.55681,1.37436,0.57958,1.05346,0.000771321,0.000771321,0.000771321
56,31828.4,1.35041,0.65737,1.03957,0.88509,0.87568,0.90543,0.55158,1.37153,0.58649,1.0492,0.000754734,0.000754734,0.000754734
57,32317.5,1.24553,0.61045,1.04109,0.88577,0.86693,0.90854,0.55156,1.36332,0.59055,1.05219,0.000738148,0.000738148,0.000738148
58,32801.2,1.28746,0.63531,1.06951,0.89678,0.8697,0.90583,0.54974,1.37559,0.58697,1.05126,0.000721561,0.000721561,0.000721561
59,33276.2,1.34302,0.63862,1.03363,0.89308,0.88159,0.90413,0.55259,1.35766,0.58354,1.0431,0.000704974,0.000704974,0.000704974
60,33750.9,1.38148,0.64502,1.0507,0.88031,0.88707,0.90198,0.55174,1.36038,0.57808,1.04884,0.000688388,0.000688388,0.000688388
61,34225.8,1.32156,0.67827,1.05127,0.9,0.88059,0.91574,0.56607,1.35538,0.57213,1.04934,0.000671801,0.000671801,0.000671801
62,34680.9,1.28453,0.62248,1.03359,0.88117,0.89015,0.90246,0.55137,1.35876,0.57548,1.04222,0.000655214,0.000655214,0.000655214
63,35151.8,1.26193,0.61643,1.02947,0.89188,0.8827,0.90577,0.55368,1.36366,0.57499,1.04829,0.000638628,0.000638628,0.000638628
64,35637.3,1.30738,0.6226,1.06101,0.90112,0.85849,0.90266,0.55425,1.35131,0.57045,1.04122,0.000622041,0.000622041,0.000622041
65,36137.1,1.27762,0.63611,1.04455,0.89569,0.87598,0.91394,0.5475,1.36806,0.57123,1.04216,0.000605454,0.000605454,0.000605454
66,36610,1.30967,0.62032,1.07312,0.88433,0.89075,0.91508,0.55069,1.35347,0.57313,1.04037,0.000588868,0.000588868,0.000588868
67,37074.8,1.26212,0.6332,1.0673,0.88718,0.89647,0.91472,0.56211,1.35193,0.56379,1.03896,0.000572281,0.000572281,0.000572281
68,37567.7,1.29387,0.61694,1.01447,0.90167,0.88217,0.90774,0.55693,1.36338,0.56495,1.0417,0.000555694,0.000555694,0.000555694
69,38042,1.27655,0.61462,1.04133,0.90484,0.89397,0.91289,0.56451,1.35404,0.55723,1.03928,0.000539108,0.000539108,0.000539108
70,38506.5,1.22442,0.58918,1.03074,0.88368,0.89105,0.91181,0.56016,1.36151,0.56369,1.04563,0.000522521,0.000522521,0.000522521
71,38965.3,1.2335,0.5781,1.04026,0.88708,0.88588,0.90876,0.57181,1.34384,0.56173,1.03431,0.000505935,0.000505935,0.000505935
72,39444,1.20452,0.59048,1.03457,0.87251,0.90604,0.91195,0.56419,1.33106,0.55228,1.03382,0.000489348,0.000489348,0.000489348
73,39896.4,1.23511,0.56925,1.02353,0.88473,0.90295,0.91416,0.5703,1.33206,0.55387,1.0307,0.000472761,0.000472761,0.000472761
74,40352.7,1.20262,0.58434,1.01333,0.89306,0.8884,0.91575,0.56823,1.33568,0.55458,1.03407,0.000456175,0.000456175,0.000456175
75,40807.2,1.22371,0.59417,1.00604,0.86916,0.90068,0.91349,0.5665,1.33405,0.55113,1.03237,0.000439588,0.000439588,0.000439588
76,41278.3,1.21155,0.58352,1.02229,0.88398,0.88495,0.90807,0.56093,1.34012,0.54804,1.03201,0.000423001,0.000423001,0.000423001
77,41722.2,1.23623,0.57128,1.01607,0.8876,0.87883,0.91321,0.56727,1.33075,0.54853,1.02936,0.000406415,0.000406415,0.000406415
78,42171.7,1.20737,0.56066,1.0093,0.89823,0.88427,0.91258,0.57015,1.33016,0.5446,1.02965,0.000389828,0.000389828,0.000389828
79,42611.1,1.22224,0.577,1.01442,0.89231,0.89516,0.91446,0.57897,1.31964,0.54028,1.02638,0.000373241,0.000373241,0.000373241
80,43056.7,1.1883,0.55244,1.01579,0.89419,0.88798,0.92186,0.57935,1.32579,0.54515,1.02646,0.000356655,0.000356655,0.000356655
81,43520.7,1.15083,0.53951,0.99195,0.88252,0.88603,0.915,0.57757,1.33075,0.54186,1.02871,0.000340068,0.000340068,0.000340068
82,43956.4,1.25754,0.58423,1.02789,0.88506,0.88681,0.9165,0.58529,1.31835,0.53818,1.0243,0.000323481,0.000323481,0.000323481
83,44408.6,1.18485,0.56179,0.99311,0.88355,0.8954,0.91409,0.57759,1.32448,0.5409,1.02829,0.000306895,0.000306895,0.000306895
84,44842.6,1.25479,0.58232,0.99075,0.89984,0.88606,0.91268,0.57906,1.31674,0.53953,1.02385,0.000290308,0.000290308,0.000290308
85,45283.6,1.18742,0.54407,0.99549,0.89264,0.88886,0.91307,0.58116,1.3157,0.53747,1.02299,0.000273721,0.000273721,0.000273721
86,45732,1.12483,0.54015,0.99143,0.88351,0.88491,0.9083,0.58057,1.31706,0.53662,1.02593,0.000257135,0.000257135,0.000257135
87,46185.2,1.18641,0.54252,1.00821,0.8869,0.8963,0.9104,0.58214,1.31676,0.53702,1.02539,0.000240548,0.000240548,0.000240548
88,46632.7,1.1553,0.5366,0.98697,0.89794,0.88439,0.91492,0.58869,1.31661,0.5271,1.02699,0.000223961,0.000223961,0.000223961
89,47070.8,1.18406,0.54724,1.00971,0.88101,0.90412,0.91516,0.58662,1.31072,0.53035,1.02413,0.000207375,0.000207375,0.000207375
90,47519.7,1.20258,0.56337,1.03067,0.89015,0.89265,0.91231,0.57942,1.31235,0.53279,1.02509,0.000190788,0.000190788,0.000190788
91,48009.3,1.1483,0.48114,1.00226,0.89966,0.88374,0.90764,0.56541,1.32431,0.53576,1.02729,0.000174201,0.000174201,0.000174201
92,48451.4,1.12369,0.49947,0.98257,0.8927,0.88734,0.91145,0.5755,1.32315,0.53218,1.02701,0.000157615,0.000157615,0.000157615
93,48892.8,1.12853,0.4707,0.97521,0.89367,0.88872,0.90928,0.57359,1.32549,0.53813,1.0297,0.000141028,0.000141028,0.000141028
94,49346.1,1.10555,0.46654,0.96235,0.88897,0.88587,0.90731,0.57612,1.32242,0.53203,1.02755,0.000124442,0.000124442,0.000124442
95,49771.8,1.14522,0.4722,0.98582,0.88773,0.88596,0.90704,0.57545,1.32071,0.52851,1.02669,0.000107855,0.000107855,0.000107855
96,50206.6,1.09723,0.47532,0.98678,0.90394,0.88006,0.90804,0.57515,1.3223,0.52955,1.02611,9.12683e-05,9.12683e-05,9.12683e-05
97,50678.7,1.11412,0.46033,0.96021,0.9012,0.88309,0.90866,0.57965,1.32022,0.52974,1.02527,7.46816e-05,7.46816e-05,7.46816e-05
98,51096.6,1.10188,0.46556,0.97623,0.89172,0.89093,0.90721,0.5808,1.31541,0.5296,1.02423,5.8095e-05,5.8095e-05,5.8095e-05
99,51520.5,1.06772,0.46236,0.96571,0.89243,0.88555,0.90866,0.58131,1.31562,0.52858,1.02533,4.15083e-05,4.15083e-05,4.15083e-05
100,51920.3,1.04933,0.45412,0.97379,0.89341,0.89714,0.91122,0.58258,1.31477,0.52778,1.02486,2.49217e-05,2.49217e-05,2.49217e-05
